"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 12:10:00";"2";"0";"73";"1,6";"8388608";"1100585";"13,12";"0";"8";"64";"6";"5"
"05.11.2015 12:15:00";"2";"0";"71";"1,56";"8388608";"955462";"11,39";"0";"8";"64";"5";"5"
"05.11.2015 12:20:00";"2";"0";"75";"1,64";"8388608";"977273";"11,65";"0";"8";"64";"5";"5"
"05.11.2015 12:25:00";"2";"0";"83";"1,81";"8388608";"1245708";"14,85";"0";"9";"64";"5";"5"
"05.11.2015 12:30:00";"2";"0";"72";"1,56";"8388608";"1050254";"12,52";"0";"9";"64";"6";"6"
"05.11.2015 12:35:00";"2";"0";"74";"1,63";"8388608";"893387";"10,65";"0";"9";"64";"5";"5"
"05.11.2015 12:40:00";"2";"0";"72";"1,57";"8388608";"1005794";"11,99";"0";"8";"64";"5";"5"
"05.11.2015 12:45:00";"2";"0";"70";"1,53";"8388608";"1027604";"12,25";"0";"8";"64";"5";"5"
"05.11.2015 12:50:00";"2";"0";"73";"1,6";"8388608";"943718";"11,25";"0";"8";"64";"5";"5"
"05.11.2015 12:55:00";"2";"0";"73";"1,6";"8388608";"1027604";"12,25";"0";"8";"64";"5";"5"
"05.11.2015 13:00:00";"2";"0";"69";"1,52";"8388608";"1100585";"13,12";"0";"8";"64";"5";"5"
"05.11.2015 13:05:00";"2";"0";"73";"1,61";"8388608";"932813";"11,12";"0";"8";"64";"5";"5"
"05.11.2015 13:10:00";"2";"0";"71";"1,56";"8388608";"932813";"11,12";"0";"7";"64";"5";"5"
"05.11.2015 13:15:00";"2";"0";"73";"1,61";"8388608";"1050254";"12,52";"0";"7";"64";"6";"6"
